timestamp,value
28 APR,438039353
29 APR,64582124
30 APR,232234193
1 MAY,249090233
2 MAY,360152571
3 MAY,296703488
4 MAY,498848693
5 MAY,345035976
6 MAY,38498111
7 MAY,109375994
8 MAY,174338694
9 MAY,361205264
10 MAY,141763829
11 MAY,124332738
12 MAY,540314084
13 MAY,533209851
14 MAY,166072825
15 MAY,336132437
16 MAY,284939291
17 MAY,14597994681
18 MAY,6422681210
19 MAY,1644172789
20 MAY,1496254138
21 MAY,1188302575
22 MAY,1313823188
23 MAY,577569341
24 MAY,480534914
25 MAY,592700704
26 MAY,738336848
27 MAY,536676406
