timestamp,value
28 APR,619558862
29 APR,137620290
30 APR,360265138
1 MAY,407845794
2 MAY,536661020
3 MAY,396451655
4 MAY,695152294
5 MAY,569281623
6 MAY,103605205
7 MAY,164689077
8 MAY,251946883
9 MAY,553710114
10 MAY,287679901
11 MAY,291169540
12 MAY,945514043
13 MAY,995120680
14 MAY,619868169
15 MAY,977848845
16 MAY,824364056
17 MAY,15754647235
18 MAY,7317796787
19 MAY,2082768014
20 MAY,2041161846
21 MAY,1704768535
22 MAY,1580989480
23 MAY,800258750
24 MAY,651907581
25 MAY,827985524
26 MAY,1327782225
27 MAY,746200302
